link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131733	第三节 优化政府数字服务体系
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131734	第四章 推进数字经济创 新 发展 1
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131735	第一节 创新农业数字化管理
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131736	第二节 推动制造业创新发展 1
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131737	第三节 引导服务业转型升级
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131738	第四节 推进 5G 技术 协 同创新
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131739	第五节 布局通导遥卫星 产 业 链 2
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131740	第六节 促进区块链创新发展
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131741	第七节 加快产业园区转型建设
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131742	第五章 构建数字社会整体智 治
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131743	第一节 加快新型基础设施建设
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131744	第二节 推进智慧城市建设
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131745	第三节 提高数字治理水平
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131746	第四节 强化数字服 务 能力
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131747	第五节 完善 应 急服务体系 3
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131748	第六章 拓展数据资源汇聚应用 3
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131749	第一节 加强数据资源汇聚管理 3
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131750	第二节 推进数据资源 共 享 应 用
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131751	第三节 促进数据资源开放开发
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131752	第七章 强化网络安全能 力 保 障 4
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131753	第一节 完善网络安全防 护 体系
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131754	第二节 构建数据安 全 防护体系
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131755	第三节 提 升网络 安 全服务 水 平
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131756	第八章 保障措施 4 3
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131757	第一节 深化管理 体 制改革
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131758	第二节 强化财政与金融支持
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131759	第三节 推进政策与标准规范建设 4 5
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131760	第四节 构建数字经 济 创新生态体系 4
link	file:///C:/Users/Administrator/Desktop/20220805/%E6%98%8E%E6%94%BF%E5%8A%9E%E3%80%942022%E3%80%9536%E5%8F%B7%EF%BC%88%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E4%B8%89%E6%98%8E%E5%B8%82%E2%80%9C%E5%8D%81%E5%9B%9B%E4%BA%94%E2%80%9D%E6%95%B0%E5%AD%97%E4%B8%89%E6%98%8E%E5%BB%BA%E8%AE%BE%E4%B8%93%E9%A1%B9%E8%A7%84%E5%88%92%E7%9A%84%E9%80%9A%E7%9F%A5%EF%BC%89.doc#_Toc100131761	第五节 壮大信息科技人 才 队伍 4
